id,value
PinS,
PinS.Collection,
PinS.Collection.Annotations,
PinS.Collection.Annotations.Placement,
PinS.Collection.Annotations.Placement.Internal,
PinS.Collection.Annotations.Placement.External,
PinS.Collection.Annotations.Extraction,
PinS.Collection.Annotations.Extraction.Parseable,
PinS.Collection.Annotations.Extraction.Executable,
PinS.Collection.Annotations.Target,
PinS.Collection.Annotations.Target.Definition,
PinS.Collection.Annotations.Target.Provenance,
PinS.Collection.Annotations.Inclusiveness,
PinS.Collection.Annotations.Inclusiveness.Inclusive,
PinS.Collection.Annotations.Inclusiveness.Exclusive,
PinS.Collection.Annotations.Necessity,
PinS.Collection.Annotations.Necessity.Optional,
PinS.Collection.Annotations.Necessity.Mandatory,
PinS.Collection.Definition,
PinS.Collection.Definition.How
PinS.Collection.Definition.How.Reading
PinS.Collection.Definition.How.Parsing
PinS.Collection.Definition.When
PinS.Collection.Definition.When.Static,
PinS.Collection.Definition.When.Dynamic,
PinS.Collection.Deployment,
PinS.Collection.Deployment.Before,
PinS.Collection.Deployment.During,
PinS.Collection.Execution,
PinS.Collection.Execution.Passive Monitoring,
PinS.Collection.Execution.Overriding,
PinS.Collection.Execution.Post-Mortem,
PinS.Collection.Execution.Instrumentation,
PinS.Management,
PinS.Management.Storage,
PinS.Management.Storage.Database,
PinS.Management.Storage.Database.Relational,
PinS.Management.Storage.Database.Graph,
PinS.Management.Storage.Database.NoSQL,
PinS.Management.Storage.Memory,
PinS.Management.Storage.File,
PinS.Management.Storage.File.Interoperable,
PinS.Management.Storage.File.Log,
PinS.Management.Storage.File.Logic,
PinS.Management.Storage.File.Graph,
PinS.Management.Storage.File.Content Database,
PinS.Management.Storage.File.Proprietary,
PinS.Management.Distribution,
PinS.Management.Distribution.File,
PinS.Management.Distribution.File.Interoperable,
PinS.Management.Distribution.File.Log,
PinS.Management.Distribution.File.Logic,
PinS.Management.Distribution.File.Graph,
PinS.Management.Distribution.File.Content Database,
PinS.Management.Distribution.File.Proprietary,
PinS.Management.Distribution.Remote,
PinS.Management.Distribution.Remote.Repository,
PinS.Management.Distribution.Remote.Web,
PinS.Management.Reproducibility,
PinS.Management.Versioning,
PinS.Management.Versioning.Trial ID,
PinS.Management.Versioning.Trial Sequence,
PinS.Management.Versioning.Evolution Intention,
PinS.Analysis,
PinS.Analysis.Query,
PinS.Analysis.Query.Generic,
PinS.Analysis.Query.Specific,
PinS.Analysis.Visualization,
PinS.Analysis.Visualization.Place,
PinS.Analysis.Visualization.Place.Internal,
PinS.Analysis.Visualization.Place.External,
PinS.Analysis.Visualization.Type,
PinS.Analysis.Visualization.Type.Log,
PinS.Analysis.Visualization.Type.Process Graph,
PinS.Analysis.Visualization.Type.Data Graph,
PinS.Analysis.Visualization.Type.Combined Graph,
PinS.Analysis.Visualization.Completeness,
PinS.Analysis.Visualization.Completeness.Complete,
PinS.Analysis.Visualization.Completeness.Clustering,
PinS.Analysis.Visualization.Completeness.Filtering,
PinS.Analysis.Comparison,
PinS.Analysis.Comparison.Data,
PinS.Analysis.Comparison.Provenance,
